lon,lat,property_type,neighbourhood,basement_finished,has_garage,has_fireplace,building_count,walkout_basement,air_conditioning,lot_size,Assessed_value_2015,Assessed_value_2016,change
-113.4211151,53.54613168,3,FULTON PLACE,0,0,0,0,0,0,112.3,500,500,Decrease
-113.4526638,53.54644021,3,FOREST HEIGHTS,0,0,0,0,0,0,112.6,500,500,Decrease
-113.4785,53.54943968,2,BOYLE STREET,0,0,0,0,0,0,7100.6,358000,318000,Decrease
-113.4822093,53.54875039,2,BOYLE STREET,0,0,0,0,0,0,4027.1,221500,194500,Decrease
-113.4823554,53.54872407,2,BOYLE STREET,0,0,0,0,0,0,4027.3,222000,194500,Decrease
-113.4825014,53.54869999,2,BOYLE STREET,0,0,0,0,0,0,4027.5,222000,194500,Decrease
-113.4827936,53.54865183,2,BOYLE STREET,0,0,0,0,0,0,4027.8,222000,194500,Decrease
-113.4829397,53.5486255,2,BOYLE STREET,0,0,0,0,0,0,4028.2,222000,194500,Decrease
-113.4830858,53.54859917,2,BOYLE STREET,0,0,0,0,0,0,4028.5,222000,194500,Decrease
-113.4832319,53.54857734,2,BOYLE STREET,0,0,0,0,0,0,4028.7,222000,194500,Decrease
-113.4907308,53.5466913,4,DOWNTOWN,0,0,0,0,0,0,38019.8,4798500,nan,Increase
-113.4913687,53.5469424,4,DOWNTOWN,0,0,0,1,0,0,79403.6,9895500,9755500,Decrease
-113.4946335,53.54701052,4,DOWNTOWN,0,0,0,0,0,0,26896,21056500,19990500,Decrease
-113.4992498,53.54701077,4,DOWNTOWN,0,0,0,0,0,0,42869.1,5260500,5965000,Increase
-113.5023787,53.54594476,4,DOWNTOWN,0,0,0,0,0,0,14987.4,2389500,2585000,Increase
-113.5034362,53.54601206,4,DOWNTOWN,0,0,0,0,0,0,7534.7,1200000,1299000,Increase
-113.5033816,53.5461752,4,DOWNTOWN,0,0,0,0,0,0,7492.5,1023500,1108000,Increase
-113.5392495,53.54498946,6,WESTMOUNT,0,0,0,0,0,0,32410.6,14500,14500,Decrease
-113.548871,53.546004,3,GLENORA,0,0,0,0,0,0,930,3000,72000,Increase
-113.6431261,53.54431564,3,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0,131460.2,60000,60000,Decrease
-113.6067992,53.54741196,3,BRITANNIA YOUNGSTOWN,0,0,0,0,0,0,17620.8,8000,8000,Decrease
-113.6128414,53.54879978,5,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,145.6,2000,2000,Decrease
-113.614017,53.54900352,5,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,6937.4,69500,71500,Increase
-113.6132243,53.54882349,5,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,149.7,2000,2000,Decrease
-113.4963258,53.44964257,3,KEHEEWIN,0,0,0,0,0,0,2204.7,7500,1000,Decrease
-113.4973803,53.48310236,3,EMPIRE PARK,0,0,0,0,0,0,28652.1,13000,13000,Decrease
-113.499168,53.48478128,6,EMPIRE PARK,0,0,0,0,0,0,26744.5,12000,12000,Decrease
-113.4975559,53.4839433,3,EMPIRE PARK,0,0,0,0,0,0,43846.1,20000,20000,Decrease
-113.4988114,53.5020735,3,ALLENDALE,0,0,0,0,0,0,2492.6,1000,1000,Decrease
-113.4988195,53.5024824,3,ALLENDALE,0,0,0,0,0,0,1658.8,500,500,Decrease
-113.5000338,53.59763125,3,ROSSLYN,0,0,0,0,0,0,116.9,500,500,Decrease
-113.5013015,53.59758712,3,ROSSLYN,0,0,0,0,0,0,2230,0,0,Decrease
-113.5009717,53.5977155,3,ROSSLYN,0,0,0,0,0,0,2230,7500,7500,Decrease
-113.4613321,53.54811004,6,RIVER VALLEY RIVERSIDE,0,0,0,0,0,0,387967.9,178000,178000,Decrease
-113.4789209,53.55031091,2,BOYLE STREET,0,0,0,0,0,0,4030.1,222000,194500,Decrease
-113.479065,53.55028233,2,BOYLE STREET,0,0,0,0,0,0,4030.1,222000,194500,Decrease
-113.4794972,53.5501966,2,BOYLE STREET,0,0,0,0,0,0,4030.1,222000,194500,Decrease
-113.4796413,53.55016802,2,BOYLE STREET,0,0,0,0,0,0,4030.1,222000,194500,Decrease
-113.4803618,53.55002738,2,BOYLE STREET,0,0,0,0,0,0,4030.2,222000,194500,Decrease
-113.4805059,53.5499988,2,BOYLE STREET,0,0,0,0,0,0,4030.2,222000,194500,Decrease
-113.480867,53.54979818,2,BOYLE STREET,0,0,0,0,0,0,4019.9,221500,194000,Decrease
-113.4818063,53.54920019,2,BOYLE STREET,0,0,0,0,0,0,3487.6,196500,171500,Decrease
